id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
416,CAM3110,7608,-23.95351296,-46.34391933,363251.00,7350269.00,Rua Napoleão Laureano,Avenida Senador Pinheiro Machado,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-16,true,true,true,2025-11-18 18:18:57.699751+00,2025-11-18 18:25:25.98603+00
417,CAM3117,7675,-23.93211791,-46.33163285,364479.00,7352650.00,Rua do Comércio,Rua Gonçalves Dias,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-04,true,true,true,2025-11-18 18:18:58.047102+00,2025-11-18 18:25:25.98603+00
418,CAM3118,7676,-23.93211782,-46.33164267,364478.00,7352650.00,Rua do Comércio,Rua Gonçalves Dias,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-02-04,true,true,true,2025-11-18 18:18:58.291212+00,2025-11-18 18:25:25.98603+00
419,CAM3122,7667,-23.93066665,-46.33236464,364403.00,7352810.00,Largo Marquês de Monte Alegre,Rua Tuyuti,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-30,true,true,true,2025-11-18 18:18:58.543658+00,2025-11-18 18:25:25.98603+00
420,CAM3131,3695,-23.95821459,-46.34430217,363217.00,7349748.00,Rua Carlos Gomes,Avenida Senador Pinheiro Machado,Campo Grande,Fixa Digital HD,Em Funcionamento,1,,2025-01-24,true,true,true,2025-11-18 18:18:58.784769+00,2025-11-18 18:25:25.98603+00
421,CAM3132,3696,-23.95822336,-46.34433175,363214.00,7349747.00,Rua Carlos Gomes,Avenida Senador Pinheiro Machado,Campo Grande,Fixa Digital HD,Em Funcionamento,1,,2025-01-24,true,true,true,2025-11-18 18:18:59.035159+00,2025-11-18 18:25:25.98603+00
422,CAM3134,7584,-23.95613403,-46.35087426,362546.00,7349972.00,Avenida Doutor Nilo Peçanha,Rua Carvalho de Mendonça,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-15,true,true,true,2025-11-18 18:18:59.378351+00,2025-11-18 18:25:25.98603+00
423,CAM3135,7585,-23.95614263,-46.35092348,362541.00,7349971.00,Avenida Doutor Nilo Peçanha,Rua Carvalho de Mendonça,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-15,true,true,true,2025-11-18 18:18:59.634419+00,2025-11-18 18:25:25.98603+00
424,CAM3137,3653,-23.93484180,-46.31525295,366149.00,7352364.00,Rua General Câmara,Rua João Octavio,Paquetá,Fixa Digital HD,Em Funcionamento,1,,2025-01-17,true,true,true,2025-11-18 18:18:59.899493+00,2025-11-18 18:25:25.98603+00
425,CAM3138,3654,-23.93486898,-46.31524340,366150.00,7352361.00,Rua General Câmara,Rua João Octavio,Paquetá,Fixa Digital HD,Em Funcionamento,1,,2025-01-17,true,true,true,2025-11-18 18:19:00.143032+00,2025-11-18 18:25:25.98603+00
426,CAM3144,7599,-23.93253757,-46.32382638,365274.00,7352611.00,Praça Antonio Telles,Rua Braz Cubas,Centro,Dome Digital HD,Em Funcionamento,1,,2025-01-23,true,true,true,2025-11-18 18:19:00.388093+00,2025-11-18 18:25:25.98603+00
428,CAM3146,7600,-23.93255546,-46.32384621,365272.00,7352609.00,Praça Antonio Telles,Rua Braz Cubas,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-23,true,true,true,2025-11-18 18:19:00.920307+00,2025-11-18 18:25:25.98603+00
429,CAM3148,3771,-23.93243893,-46.32583947,365069.00,7352620.00,Praça da República,Rua Martim Affonso,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-20,true,true,true,2025-11-18 18:19:01.205566+00,2025-11-18 18:25:25.98603+00
430,CAM3149,3772,-23.93251058,-46.32590898,365062.00,7352612.00,Praça da República,Rua Martim Affonso,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-20,true,true,true,2025-11-18 18:19:01.480484+00,2025-11-18 18:25:25.98603+00
431,CAM3155,7593,-23.93193694,-46.32645331,365006.00,7352675.00,Praça Barão do Rio Branco,Avenida Antonio Prado,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-22,true,true,true,2025-11-18 18:19:01.838255+00,2025-11-18 18:25:25.98603+00
432,CAM3156,7594,-23.93195492,-46.32646332,365005.00,7352673.00,Praça Barão do Rio Branco,Avenida Antonio Prado,Centro,Fixa Digital HD,Em Funcionamento,1,,2025-01-22,true,true,true,2025-11-18 18:19:02.125053+00,2025-11-18 18:25:25.98603+00
